['11542', 'Yearly', '6939 days']
['57021', 'Daily', '27 days']
['57020', 'Daily', '18 days']
['57024', 'Daily', '24 days']
['16442', 'Monthly', '122 days']
['16440', 'Yearly', '13515 days']
['16446', 'Monthly', '2649 days']
['16447', 'Yearly', '4383 days']
['16444', 'Daily', '4 days']
['11924', 'Monthly', '973 days']
['11926', 'Monthly', '91 days']
['22931', 'Daily', '27 days']
['22930', 'Yearly', '7305 days']
['21378', 'Monthly', '1400 days']
['49229', 'Daily', '32 days']
['22935', 'One-off', '15321 days']
['22937', 'Monthly', '1826 days']
['49222', 'Daily', '29 days']
['21373', 'Monthly', '1308 days']
['49220', 'Monthly', '1249 days']
['49221', 'Monthly', '2434 days']
['49226', 'Yearly', '11688 days']
['21377', 'Yearly', '9497 days']
['21374', 'Yearly', '12053 days']
['56954', 'One-off', '13504 days']
['56950', 'Daily', '31 days']
['56951', 'Monthly', '2130 days']
['56952', 'Monthly', '2375 days']
['56953', 'Yearly', '1826 days']
['44926', 'Yearly', '14975 days']
['17715', 'One-off', '15077 days']
['52704', 'Daily', '16 days']
['17717', 'Daily', '30 days']
['44925', 'Monthly', '90 days']
['17711', 'Monthly', '518 days']
['17710', 'Yearly', '1095 days']
['17712', 'One-off', '10808 days']
['17719', 'Daily', '35 days']
['17718', 'Monthly', '1188 days']
['53252', 'Daily', '21 days']
['53253', 'Daily', '4 days']
['53257', 'Yearly', '7670 days']
['53258', 'One-off', '14847 days']
['54703', 'One-off', '12341 days']
['54701', 'Yearly', '2557 days']
['54700', 'Monthly', '1280 days']
['54707', 'Daily', '48 days']
['54706', 'Daily', '9 days']
['37908', 'Daily', '30 days']
['9118', 'Monthly', '305 days']
['37906', 'Monthly', '426 days']
['37907', 'Yearly', '10957 days']
['37904', 'Yearly', '2556 days']
['27437', 'Monthly', '852 days']
['20424', 'Yearly', '14610 days']
['27434', 'Yearly', '12784 days']
['48171', 'Yearly', '3287 days']
['48170', 'Yearly', '4748 days']
['27431', 'Monthly', '1249 days']
['48172', 'One-off', '15940 days']
['20429', 'Yearly', '2557 days']
['20428', 'Yearly', '2191 days']
['27438', 'Yearly', '3652 days']
['29022', 'One-off', '17556 days']
['29023', 'Monthly', '1095 days']
['29027', 'Monthly', '212 days']
['29024', 'Daily', '4 days']
['26747', 'Monthly', '821 days']
['26744', 'Monthly', '2679 days']
['26745', 'One-off', '11854 days']
['26748', 'Daily', '9 days']
['26749', 'Monthly', '2585 days']
['50289', 'Monthly', '2677 days']
['50283', 'Monthly', '425 days']
['50280', 'Monthly', '1157 days']
['50281', 'Daily', '51 days']
['50286', 'Monthly', '1703 days']
['50285', 'Yearly', '10592 days']
['34767', 'Monthly', '366 days']
['34765', 'One-off', '10964 days']
['34763', 'Monthly', '1308 days']
['34762', 'Yearly', '6940 days']
['34761', 'Monthly', '671 days']
['34760', 'Yearly', '5114 days']
['40803', 'One-off', '16555 days']
['50130', 'One-off', '17305 days']
['50131', 'Yearly', '1461 days']
['50134', 'One-off', '10783 days']
['50136', 'Monthly', '2708 days']
['50138', 'One-off', '17311 days']
['24429', 'One-off', '15921 days']
['24428', 'Yearly', '2922 days']
['28776', 'Daily', '9 days']
['28771', 'Monthly', '2312 days']
['28770', 'One-off', '10311 days']
['28773', 'Daily', '36 days']
['28772', 'Daily', '54 days']
['24423', 'Daily', '18 days']
['24422', 'One-off', '18009 days']
['24425', 'Yearly', '15706 days']
['28778', 'Daily', '13 days']
['24426', 'Yearly', '6574 days']
['22117', 'Monthly', '1582 days']
['22112', 'Monthly', '761 days']
['22119', 'Monthly', '1491 days']
['3970', 'Monthly', '1372 days']
['3973', 'Yearly', '5844 days']
['3972', 'Daily', '30 days']
['3974', 'Monthly', '366 days']
['3977', 'Monthly', '2465 days']
['3976', 'Yearly', '5113 days']
['35416', 'Yearly', '6940 days']
['35415', 'Monthly', '1706 days']
['35412', 'Monthly', '1158 days']
['35413', 'Monthly', '1614 days']
['35410', 'Monthly', '2618 days']
['35411', 'Yearly', '8401 days']
['51663', 'Monthly', '1795 days']
['51662', 'Daily', '41 days']
['55562', 'Monthly', '2556 days']
['51660', 'Monthly', '2222 days']
['51667', 'One-off', '11632 days']
['55565', 'Daily', '39 days']
['51665', 'Yearly', '6575 days']
['55567', 'Monthly', '1035 days']
['55569', 'One-off', '15714 days']
['51669', 'One-off', '10667 days']
['51668', 'Monthly', '1979 days']
['56033', 'Monthly', '214 days']
['56032', 'Daily', '39 days']
['56036', 'Monthly', '1005 days']
['56034', 'Daily', '30 days']
['56038', 'Yearly', '3287 days']
['25466', 'Yearly', '15341 days']
['25467', 'Yearly', '6940 days']
['36266', 'One-off', '15883 days']
['49737', 'One-off', '16280 days']
['25462', 'Monthly', '549 days']
['25463', 'Monthly', '2161 days']
['25461', 'One-off', '10889 days']
['4471', 'Monthly', '1217 days']
['4473', 'One-off', '12453 days']
['4472', 'Yearly', '1095 days']
['36269', 'Yearly', '16071 days']
['4476', 'Daily', '24 days']
['21483', 'Yearly', '1096 days']
['41259', 'Yearly', '8036 days']
['21488', 'Yearly', '8766 days']
['41250', 'Yearly', '2557 days']
['41257', 'Daily', '17 days']
['41255', 'One-off', '17813 days']
['21489', 'Yearly', '8401 days']
['36193', 'Yearly', '4748 days']
['36190', 'One-off', '17284 days']
['36194', 'One-off', '11155 days']
['50539', 'Yearly', '8401 days']
['37458', 'Yearly', '6939 days']
['18871', 'Monthly', '1035 days']
['18870', 'Monthly', '1310 days']
['33017', 'Yearly', '10592 days']
['18875', 'One-off', '11655 days']
['33011', 'Yearly', '3288 days']
['33013', 'Yearly', '11323 days']
['18879', 'Yearly', '1826 days']
['18878', 'Yearly', '2192 days']
['33018', 'Yearly', '1096 days']
['37456', 'Monthly', '245 days']
['40615', 'Yearly', '7305 days']
['40617', 'Yearly', '6209 days']
['40618', 'Yearly', '16802 days']
['18294', 'One-off', '15133 days']
['18297', 'Daily', '49 days']
['18296', 'Monthly', '2738 days']
['18291', 'One-off', '9554 days']
['42767', 'Yearly', '4748 days']
['18293', 'One-off', '10260 days']
['18292', 'Yearly', '4017 days']
['18298', 'Daily', '35 days']
['10664', 'Yearly', '4383 days']
['14738', 'One-off', '10857 days']
['14739', 'Daily', '49 days']
['47968', 'Monthly', '1096 days']
['14732', 'One-off', '9116 days']
['14730', 'Yearly', '3652 days']
['47964', 'Daily', '50 days']
['47963', 'Monthly', '1308 days']
['47962', 'Yearly', '14610 days']
['47961', 'Monthly', '2345 days']
['47960', 'Daily', '50 days']
['38798', 'Yearly', '5478 days']
['38799', 'One-off', '15427 days']
['38793', 'Monthly', '1765 days']
['38790', 'Daily', '32 days']
['38794', 'Yearly', '7670 days']
['38795', 'Monthly', '2039 days']
['13966', 'Monthly', '1247 days']
['13969', 'Yearly', '1826 days']
['18123', 'Monthly', '1553 days']
['18122', 'Daily', '52 days']
['5557', 'Yearly', '9496 days']
['5556', 'Yearly', '1096 days']
['5551', 'Daily', '49 days']
['18126', 'Yearly', '4749 days']
['5553', 'Monthly', '609 days']
['18124', 'Yearly', '7305 days']
['18129', 'Monthly', '882 days']
['18128', 'Daily', '48 days']
['5559', 'Monthly', '1673 days']
['38240', 'One-off', '9843 days']
['38244', 'Daily', '48 days']
['38246', 'Daily', '14 days']
['38247', 'Monthly', '1096 days']
['38248', 'Yearly', '5478 days']
['38249', 'Monthly', '611 days']
['13661', 'One-off', '11334 days']
['30098', 'Yearly', '5479 days']
['13660', 'Daily', '30 days']
['30095', 'Monthly', '1033 days']
['30094', 'Daily', '10 days']
['30097', 'Yearly', '8401 days']
['30096', 'Yearly', '12418 days']
['30091', 'Monthly', '943 days']
['30090', 'Daily', '33 days']
['30092', 'Monthly', '700 days']
['33487', 'One-off', '13052 days']
['43326', 'One-off', '10171 days']
['14100', 'One-off', '11825 days']
['13665', 'Yearly', '7305 days']
['31320', 'One-off', '17869 days']
['18482', 'Daily', '4 days']
['47341', 'Daily', '42 days']
['47340', 'Monthly', '1095 days']
['5887', 'Daily', '7 days']
['47345', 'Monthly', '2403 days']
['47344', 'Daily', '31 days']
['5889', 'One-off', '11029 days']
['47348', 'One-off', '15911 days']
['15064', 'Monthly', '974 days']
['6551', 'Daily', '35 days']
['15063', 'Monthly', '2465 days']
['15069', 'One-off', '16959 days']
['15068', 'Monthly', '1765 days']
['16019', 'Daily', '19 days']
['39113', 'Monthly', '1765 days']
['39110', 'Daily', '36 days']
['39117', 'Yearly', '9131 days']
['39115', 'Yearly', '8766 days']
['11073', 'Daily', '50 days']
['16604', 'Daily', '40 days']
['16606', 'One-off', '10347 days']
['28273', 'Yearly', '5479 days']
['16600', 'Daily', '30 days']
['16608', 'Monthly', '1310 days']
['12775', 'One-off', '16931 days']
['12776', 'One-off', '11861 days']
['12777', 'Daily', '47 days']
['12770', 'One-off', '13045 days']
['42448', 'Yearly', '11323 days']
['42447', 'One-off', '17596 days']
['42445', 'Monthly', '1096 days']
['12779', 'Yearly', '6939 days']
['42441', 'Yearly', '1096 days']
['21177', 'Monthly', '120 days']
['21171', 'Yearly', '4748 days']
['21172', 'Yearly', '13149 days']
['46920', 'One-off', '17749 days']
['49753', 'Daily', '39 days']
['46924', 'Monthly', '274 days']
['46925', 'Daily', '37 days']
['46926', 'Yearly', '5114 days']
['46929', 'Monthly', '914 days']
['49759', 'Daily', '43 days']
['45699', 'Daily', '8 days']
['41939', 'Yearly', '5479 days']
['45697', 'Monthly', '2618 days']
['41934', 'Yearly', '6940 days']
['45694', 'Daily', '27 days']
['41933', 'One-off', '14676 days']
['41930', 'Yearly', '2191 days']
['45690', 'Yearly', '9862 days']
['10602', 'One-off', '17238 days']
['10603', 'Monthly', '1642 days']
['10600', 'Monthly', '2710 days']
['53011', 'Daily', '10 days']
['10606', 'Monthly', '1035 days']
['53017', 'Monthly', '2465 days']
['53015', 'Daily', '54 days']
['53018', 'Monthly', '1433 days']
['54549', 'Daily', '26 days']
['54548', 'Yearly', '12783 days']
['11955', 'Daily', '9 days']
['11954', 'Yearly', '5479 days']
['54547', 'Yearly', '2922 days']
['11950', 'One-off', '14734 days']
['11953', 'One-off', '16625 days']
['11952', 'Yearly', '10592 days']
['54099', 'Daily', '31 days']
['54098', 'Yearly', '2557 days']
['54093', 'Daily', '7 days']
['54092', 'Yearly', '5844 days']
['54090', 'Daily', '52 days']
['54097', 'One-off', '10206 days']
['54094', 'Daily', '10 days']
['48409', 'Monthly', '1065 days']
['48408', 'Monthly', '1369 days']
['48405', 'Yearly', '12419 days']
['48406', 'One-off', '11795 days']
['48403', 'One-off', '9873 days']
['48402', 'One-off', '16238 days']
['8163', 'Monthly', '1704 days']
['29554', 'Monthly', '1796 days']
['29555', 'Yearly', '1827 days']
['29559', 'Monthly', '2344 days']
['50733', 'Daily', '41 days']
['50731', 'Monthly', '546 days']
['50737', 'Monthly', '2404 days']
['50735', 'Monthly', '915 days']
['50739', 'Monthly', '457 days']
['15446', 'Monthly', '1734 days']
['8398', 'Daily', '37 days']
['8395', 'Monthly', '1370 days']
['8396', 'Monthly', '2557 days']
['8390', 'Daily', '53 days']
['8391', 'Monthly', '2496 days']
['25557', 'Daily', '24 days']
['25554', 'Daily', '8 days']
['28209', 'Daily', '13 days']
['28208', 'Yearly', '5113 days']
['28201', 'Monthly', '1431 days']
['28203', 'One-off', '15773 days']
['28202', 'Daily', '32 days']
['22468', 'Yearly', '9131 days']
['22466', 'Daily', '32 days']
['22465', 'Daily', '5 days']
['22464', 'Monthly', '2162 days']
['22463', 'Monthly', '883 days']
['22462', 'Yearly', '6209 days']
['22460', 'Monthly', '1430 days']
['26379', 'Daily', '16 days']
['26376', 'Daily', '52 days']
['26375', 'Monthly', '458 days']
['26374', 'Yearly', '6575 days']
['26373', 'Monthly', '2223 days']
['26372', 'Yearly', '5114 days']
['26371', 'One-off', '14063 days']
['55760', 'Yearly', '4383 days']
['55761', 'Yearly', '8036 days']
['55767', 'Monthly', '1218 days']
['32529', 'Monthly', '2680 days']
['32528', 'Monthly', '1096 days']
['32527', 'Monthly', '2221 days']
['51064', 'Yearly', '3288 days']
['55768', 'Yearly', '7305 days']
['32524', 'Monthly', '366 days']
['51061', 'Daily', '33 days']
['32522', 'Daily', '13 days']
['51063', 'Daily', '18 days']
['32520', 'Monthly', '2646 days']
['56238', 'Yearly', '7305 days']
['56235', 'Monthly', '2649 days']
['56234', 'Monthly', '1645 days']
['56237', 'One-off', '10534 days']
['56231', 'Daily', '46 days']
['56233', 'Daily', '29 days']
['57723', 'Yearly', '5113 days']
['52008', 'Monthly', '1402 days']
['52009', 'One-off', '15422 days']
['52002', 'Monthly', '2647 days']
['52001', 'Daily', '28 days']
['52007', 'One-off', '15176 days']
['52004', 'Yearly', '8401 days']
['25118', 'Monthly', '213 days']
['25119', 'Monthly', '1826 days']
['25116', 'Yearly', '8035 days']
['25115', 'One-off', '15971 days']
['8097', 'Daily', '27 days']
['8096', 'Daily', '39 days']
['12527', 'Daily', '5 days']
['57189', 'Monthly', '335 days']
['57186', 'Yearly', '7305 days']
['57181', 'One-off', '10930 days']
['57183', 'Monthly', '2437 days']
['42491', 'Daily', '13 days']
['53355', 'One-off', '16716 days']
['53357', 'One-off', '15456 days']
['53351', 'Yearly', '1826 days']
['53353', 'One-off', '11666 days']
['53358', 'Yearly', '13149 days']
['9639', 'Monthly', '304 days']
['9631', 'Yearly', '2557 days']
['9633', 'Monthly', '2345 days']
['37008', 'Daily', '37 days']
['37007', 'Monthly', '1917 days']
['37006', 'Yearly', '9131 days']
['37005', 'Monthly', '1795 days']
['37000', 'Monthly', '1005 days']
['45860', 'One-off', '13278 days']
['45863', 'One-off', '16808 days']
['48232', 'Yearly', '9496 days']
['49415', 'Monthly', '365 days']
['49417', 'One-off', '14803 days']
['49410', 'One-off', '10032 days']
['45867', 'Monthly', '1918 days']
['49419', 'Monthly', '2282 days']
['51776', 'Monthly', '2161 days']
['58325', 'Monthly', '334 days']
['58324', 'Monthly', '334 days']
['58327', 'Monthly', '2374 days']
['58320', 'Yearly', '11323 days']
['58323', 'Monthly', '2008 days']
['58328', 'Daily', '46 days']
['3348', 'Monthly', '2102 days']
['3349', 'Yearly', '6574 days']
['3342', 'Yearly', '12053 days']
['3343', 'Yearly', '7305 days']
['3346', 'Yearly', '4018 days']
['3347', 'Monthly', '2465 days']
['30259', 'One-off', '16547 days']
['30258', 'Daily', '22 days']
['30256', 'Yearly', '16436 days']
['30254', 'One-off', '16260 days']
['4258', 'Daily', '43 days']
['31129', 'Monthly', '2341 days']
['4251', 'One-off', '14750 days']
['31124', 'Monthly', '2618 days']
['31123', 'Daily', '47 days']
['4257', 'Yearly', '8766 days']
['4256', 'One-off', '11299 days']
['29615', 'Daily', '10 days']
['29614', 'One-off', '11126 days']
['29617', 'Yearly', '8036 days']
['42149', 'Daily', '4 days']
['29613', 'One-off', '9422 days']
['25941', 'One-off', '11799 days']
['25940', 'One-off', '14148 days']
['25943', 'Monthly', '2099 days']
['25942', 'One-off', '18001 days']
['29619', 'One-off', '15759 days']
['29618', 'One-off', '15455 days']
['3837', 'Yearly', '9131 days']
['23473', 'Daily', '3 days']
['23471', 'Yearly', '8401 days']
['23470', 'Daily', '53 days']
['3838', 'Yearly', '6209 days']
['23479', 'Monthly', '1492 days']
['12219', 'Yearly', '9497 days']
['50074', 'Yearly', '4018 days']
['50077', 'Monthly', '2131 days']
['35334', 'Daily', '6 days']
['50071', 'Daily', '9 days']
['50070', 'Monthly', '457 days']
['50072', 'Monthly', '2738 days']
['50078', 'One-off', '11314 days']
['55245', 'Monthly', '2587 days']
['32647', 'Yearly', '2192 days']
['55247', 'Yearly', '13149 days']
['32645', 'One-off', '9534 days']
['32641', 'Monthly', '2131 days']
['32648', 'Monthly', '2435 days']
['32649', 'Monthly', '578 days']
['6143', 'One-off', '13120 days']
['6142', 'Daily', '54 days']
['6141', 'One-off', '12858 days']
['6140', 'Daily', '53 days']
['6144', 'Monthly', '761 days']
['6148', 'One-off', '15451 days']
['10804', 'Daily', '26 days']
['22702', 'One-off', '17874 days']
['22701', 'Yearly', '10592 days']
['56242', 'Daily', '18 days']
['10802', 'Yearly', '4018 days']
['29349', 'Yearly', '6209 days']
['42932', 'Monthly', '2434 days']
['42931', 'Yearly', '1826 days']
['42930', 'One-off', '16320 days']
['42936', 'Monthly', '943 days']
['42934', 'Yearly', '9132 days']
['38421', 'Monthly', '2465 days']
['38425', 'Yearly', '10957 days']
['38426', 'Monthly', '1977 days']
['38428', 'Monthly', '212 days']
['57894', 'Monthly', '458 days']
['10502', 'Monthly', '1095 days']
['4538', 'Monthly', '1734 days']
['4539', 'One-off', '14174 days']
['4533', 'Daily', '27 days']
['10507', 'Monthly', '1461 days']
['10506', 'Monthly', '1158 days']
['33199', 'Monthly', '610 days']
['33191', 'Monthly', '426 days']
['33192', 'Monthly', '1157 days']
['33195', 'Daily', '10 days']
['33194', 'Yearly', '10227 days']
['33197', 'Monthly', '1857 days']
['36017', 'One-off', '17984 days']
['36013', 'Daily', '29 days']
['36011', 'Monthly', '1948 days']
['36010', 'Monthly', '730 days']
['36018', 'Yearly', '6575 days']
['8372', 'Monthly', '1400 days']
['39773', 'Daily', '7 days']
['39771', 'Yearly', '2922 days']
['39777', 'Monthly', '1249 days']
['39778', 'Daily', '7 days']
['41770', 'Yearly', '4748 days']
['12955', 'Daily', '43 days']
['12956', 'Daily', '43 days']
['12951', 'Monthly', '2131 days']
['41776', 'Monthly', '853 days']
['12953', 'Yearly', '6210 days']
['12958', 'Monthly', '2343 days']
['52092', 'Daily', '51 days']
['7065', 'Yearly', '11688 days']
['7060', 'Monthly', '1492 days']
['33227', 'Yearly', '6574 days']
['37767', 'Yearly', '4383 days']
['37765', 'Yearly', '10958 days']
['18624', 'Monthly', '1826 days']
['33222', 'Yearly', '6940 days']
['37760', 'Daily', '22 days']
['37761', 'Yearly', '10957 days']
['18628', 'Monthly', '1856 days']
['33228', 'Monthly', '611 days']
['12482', 'Monthly', '2313 days']
['30757', 'Daily', '26 days']
['30754', 'Monthly', '1308 days']
['12481', 'One-off', '12552 days']
['30752', 'One-off', '15677 days']
['12487', 'Monthly', '1249 days']
['30750', 'Monthly', '1249 days']
['8159', 'Daily', '20 days']
['8156', 'One-off', '17676 days']
['6968', 'Daily', '4 days']
['8154', 'Monthly', '1614 days']
['12489', 'Daily', '13 days']
['8152', 'Monthly', '182 days']
['8153', 'Monthly', '1826 days']
['40794', 'One-off', '14607 days']
['40797', 'Monthly', '1006 days']
['40790', 'Daily', '53 days']
['40792', 'Monthly', '730 days']
['40799', 'Monthly', '2495 days']
['43977', 'Monthly', '2649 days']
['40420', 'One-off', '15350 days']
['40427', 'One-off', '15475 days']
['40426', 'Yearly', '10227 days']
['40429', 'Yearly', '5114 days']
['40428', 'Yearly', '1461 days']
['14505', 'Daily', '48 days']
['14504', 'Daily', '38 days']
['14501', 'Yearly', '2191 days']
['14508', 'Monthly', '610 days']
['38166', 'One-off', '10497 days']
['38161', 'Yearly', '2557 days']
['38163', 'Monthly', '881 days']
['38162', 'One-off', '12318 days']
['38169', 'Monthly', '1157 days']
['43213', 'Daily', '24 days']
['43212', 'Monthly', '2616 days']
['43214', 'Monthly', '672 days']
['43217', 'Daily', '40 days']
['43218', 'Monthly', '943 days']
['11367', 'Yearly', '4018 days']
['11363', 'One-off', '17482 days']
['19179', 'Monthly', '1370 days']
['19178', 'Yearly', '1461 days']
['19172', 'One-off', '16317 days']
['19171', 'Monthly', '306 days']
['19177', 'Yearly', '2191 days']
['19175', 'One-off', '12351 days']
['19174', 'Yearly', '15340 days']
['19282', 'Daily', '16 days']
['19286', 'Yearly', '6940 days']
['46060', 'Yearly', '8035 days']
['46064', 'One-off', '13401 days']
['46067', 'Daily', '12 days']
['46069', 'Monthly', '549 days']
['52246', 'Yearly', '6209 days']
['52247', 'Yearly', '3287 days']
['52240', 'Monthly', '2556 days']
['52241', 'Monthly', '2708 days']
['52249', 'Daily', '8 days']
['53194', 'Monthly', '337 days']
['53193', 'Yearly', '7670 days']
['53191', 'Monthly', '2314 days']
['53199', 'Daily', '14 days']
['19825', 'Daily', '16 days']
['16836', 'Daily', '13 days']
['19827', 'Yearly', '5114 days']
['19826', 'One-off', '17261 days']
['7849', 'Monthly', '1279 days']
['7848', 'Monthly', '2679 days']
['7845', 'Daily', '14 days']
['7844', 'Yearly', '5479 days']
['7846', 'One-off', '12136 days']
['19829', 'Monthly', '791 days']
['19828', 'Monthly', '1522 days']
['7842', 'Yearly', '10592 days']
['12106', 'Yearly', '4018 days']
['12102', 'Daily', '17 days']
['12100', 'Monthly', '1705 days']
['12109', 'Monthly', '1949 days']
['9342', 'Yearly', '5478 days']
['9344', 'Monthly', '92 days']
['9346', 'Monthly', '2068 days']
['9348', 'Yearly', '8401 days']
['9349', 'Daily', '3 days']
['21707', 'Monthly', '2192 days']
['46684', 'Monthly', '2375 days']
['46686', 'Monthly', '212 days']
['46681', 'Daily', '24 days']
['21702', 'Yearly', '2556 days']
['46683', 'Monthly', '1675 days']
['46682', 'Yearly', '3653 days']
['46689', 'Yearly', '1826 days']
['46688', 'Daily', '42 days']
['21709', 'Yearly', '3287 days']
['54978', 'Yearly', '1826 days']
['54973', 'One-off', '16760 days']
['54976', 'Yearly', '10227 days']
['54977', 'Monthly', '2284 days']
['48302', 'Daily', '44 days']
['48301', 'One-off', '10437 days']
['48307', 'Monthly', '882 days']
['48304', 'Monthly', '972 days']
['48308', 'Daily', '24 days']
['44682', 'Yearly', '2191 days']
['44686', 'Yearly', '10592 days']
['26958', 'Yearly', '6939 days']
['26957', 'Monthly', '1826 days']
['44688', 'Monthly', '1004 days']
['26951', 'One-off', '17862 days']
['26950', 'Yearly', '4748 days']
['29599', 'Monthly', '1612 days']
['13276', 'Yearly', '1461 days']
['13275', 'One-off', '13736 days']
['13272', 'Monthly', '2161 days']
['13273', 'Monthly', '396 days']
['13271', 'Monthly', '761 days']
['45085', 'Monthly', '2252 days']
['45082', 'Yearly', '9132 days']
['13279', 'Yearly', '10593 days']
['43704', 'One-off', '13612 days']
['44350', 'Yearly', '1461 days']
['44353', 'One-off', '14472 days']
['44352', 'Daily', '6 days']
['44354', 'One-off', '10096 days']
['28501', 'Monthly', '1035 days']
['28506', 'Yearly', '10958 days']
['43701', 'Daily', '14 days']
['54356', 'Yearly', '7670 days']
['28509', 'Yearly', '6210 days']
['54350', 'Monthly', '2525 days']
['54351', 'Monthly', '1158 days']
['20077', 'Yearly', '6209 days']
['20074', 'Yearly', '8766 days']
['20072', 'One-off', '15359 days']
['20073', 'Yearly', '2922 days']
['20071', 'Monthly', '822 days']
['51085', 'Monthly', '761 days']
['20078', 'Yearly', '7671 days']
['51084', 'Yearly', '5114 days']
['32505', 'Daily', '24 days']
['51081', 'Monthly', '485 days']
['52637', 'Yearly', '13149 days']
['23671', 'Yearly', '11688 days']
['23672', 'Monthly', '2252 days']
['23674', 'Daily', '48 days']
['23676', 'Yearly', '5479 days']
['27701', 'Yearly', '10592 days']
['27700', 'Monthly', '2740 days']
['27705', 'One-off', '9930 days']
['27706', 'Daily', '17 days']
['51452', 'Yearly', '7671 days']
['51454', 'Daily', '18 days']
['51456', 'Yearly', '3652 days']
['51457', 'Yearly', '15341 days']
['17048', 'Daily', '46 days']
['35131', 'Daily', '51 days']
['35133', 'Monthly', '1219 days']
['35135', 'One-off', '12011 days']
['35134', 'Daily', '47 days']
['35136', 'Monthly', '2707 days']
['35138', 'Yearly', '7305 days']
['32480', 'Yearly', '8400 days']
['55486', 'Yearly', '10592 days']
['32484', 'One-off', '16708 days']
['32486', 'Monthly', '1430 days']
['32487', 'Monthly', '2008 days']
['55489', 'Monthly', '2070 days']
['8454', 'Monthly', '822 days']
['8452', 'Yearly', '9131 days']
['8451', 'Monthly', '761 days']
['8450', 'Daily', '8 days']
['8459', 'Yearly', '1096 days']
['8458', 'Monthly', '2587 days']
['35689', 'Daily', '20 days']
['50505', 'Yearly', '3287 days']
['50504', 'One-off', '11245 days']
['35685', 'Monthly', '2738 days']
['35684', 'Yearly', '8035 days']
['35683', 'Monthly', '1339 days']
['50500', 'Yearly', '7670 days']
['35680', 'One-off', '12594 days']
['31565', 'Monthly', '2708 days']
['56688', 'Yearly', '11323 days']
['52908', 'Yearly', '14244 days']
['52903', 'Monthly', '2010 days']
['56681', 'One-off', '13699 days']
['31561', 'Monthly', '911 days']
['52907', 'Monthly', '2466 days']
['56685', 'Monthly', '973 days']
['52904', 'Monthly', '2405 days']
['25639', 'Yearly', '9496 days']
['25637', 'Yearly', '10957 days']
['25632', 'Monthly', '2223 days']
['25631', 'One-off', '12241 days']
['25630', 'Daily', '4 days']
['24948', 'One-off', '12055 days']
['24946', 'Yearly', '5844 days']
['24945', 'Daily', '54 days']
['24940', 'Yearly', '11323 days']
['20475', 'Yearly', '6574 days']
['57705', 'Monthly', '759 days']
['58351', 'One-off', '17840 days']
['54670', 'Daily', '28 days']
['54677', 'Monthly', '2557 days']
['25093', 'Daily', '19 days']
['25091', 'Monthly', '365 days']
['25095', 'Daily', '13 days']
['25099', 'Yearly', '3288 days']
['25098', 'Yearly', '5479 days']
['36568', 'Monthly', '1311 days']
['36567', 'Daily', '43 days']
['36565', 'One-off', '13331 days']
['36564', 'Daily', '44 days']
['36561', 'Monthly', '2252 days']
['36560', 'Daily', '6 days']
['20914', 'Yearly', '10227 days']
['20917', 'Yearly', '13149 days']
['20916', 'Yearly', '5844 days']
['20911', 'Monthly', '1796 days']
['20910', 'Daily', '55 days']
['20913', 'Monthly', '274 days']
['20918', 'Monthly', '1795 days']
['56878', 'Monthly', '1461 days']
['33421', 'One-off', '9764 days']
['33423', 'Daily', '53 days']
['18421', 'One-off', '14892 days']
['33427', 'Yearly', '5114 days']
['33426', 'Daily', '36 days']
['33429', 'Daily', '19 days']
['18428', 'Monthly', '1124 days']
['17472', 'Monthly', '669 days']
['30190', 'Yearly', '12784 days']
['30193', 'Monthly', '731 days']
['30196', 'One-off', '15396 days']
['30197', 'Daily', '3 days']
['30198', 'Monthly', '1216 days']
['15619', 'One-off', '15894 days']
['37064', 'Monthly', '2435 days']
['17476', 'Monthly', '822 days']
['37216', 'Yearly', '10227 days']
['37215', 'Monthly', '2102 days']
['37213', 'One-off', '12178 days']
['18396', 'Monthly', '2495 days']
['18397', 'Daily', '27 days']
['39369', 'One-off', '11869 days']
['39360', 'Monthly', '1521 days']
['39362', 'Monthly', '1614 days']
['39364', 'Monthly', '1915 days']
['39365', 'Yearly', '1826 days']
['47538', 'One-off', '11010 days']
['47530', 'Monthly', '2222 days']
['47531', 'Monthly', '2038 days']
['47532', 'Daily', '13 days']
['47534', 'Yearly', '5479 days']
['4358', 'Yearly', '6209 days']
['4359', 'Yearly', '2922 days']
['4354', 'Monthly', '1767 days']
['13704', 'Daily', '3 days']
['4357', 'Yearly', '8401 days']
['6424', 'One-off', '11075 days']
['42079', 'One-off', '11224 days']
['6420', 'One-off', '17130 days']
['15330', 'Yearly', '5114 days']
['46752', 'Daily', '9 days']
['42071', 'Monthly', '608 days']
['43946', 'One-off', '17811 days']
['43940', 'Yearly', '4383 days']
['43942', 'One-off', '12310 days']
['42018', 'Yearly', '16071 days']
['42011', 'Yearly', '6940 days']
['42012', 'Monthly', '671 days']
['42014', 'One-off', '13101 days']
['42017', 'Daily', '10 days']
['48610', 'Monthly', '426 days']
['45227', 'One-off', '9629 days']
['48612', 'Monthly', '2588 days']
['48613', 'Monthly', '2039 days']
['20164', 'Monthly', '2101 days']
['22255', 'Yearly', '7305 days']
['45248', 'Monthly', '671 days']
['45242', 'Yearly', '10592 days']
['45244', 'Daily', '51 days']
['45247', 'Yearly', '1096 days']
['44119', 'Daily', '6 days']
['44113', 'Monthly', '546 days']
